Health Exp 2019 per capita,Health Exp 2019 per capita PPP,Physicians,Nurses and midwives
180.7,558.9,0.8,1.4
..,..,..,..
..,..,..,..
..,..,0.5,0.8
69.3,192.5,0.1,1
103,208.4,0.2,1.9
1115,1458.9,1.6,4
750.7,1083.1,1.9,3.9
2334.1,3246.1,3.5,8.5
662.6,1285.1,2.4,4.2
507.3,1018.9,1.4,2.5
10317.6,10366.1,2.6,15.2
60.5,203.4,0.8,1.5
78.9,188.5,0.2,1.3
34.8,106,0.3,1
96.5,284.1,0.8,2
551.4,1046.2,2.3,3.9
5635.5,6240.4,3.2,11.3
